rule_id,source,rule_name,description,condition,severity,action,classification,rationale
DQ_TAXI_001,yellow_taxi,Missing Pickup Timestamp,"Pickup timestamp is required for period assignment, duration calculation, and hourly demand analysis.",tpep_pickup_datetime IS NULL,Critical,Quarantine,DEFINITELY_INVALID,Observed 0; required field.
DQ_TAXI_002,yellow_taxi,Missing Drop-off Timestamp,Drop-off timestamp is required for valid trip duration.,tpep_dropoff_datetime IS NULL,Critical,Quarantine,DEFINITELY_INVALID,Observed 0; required field.
DQ_TAXI_003,yellow_taxi,Drop-off Before Pickup,A trip cannot end before it begins.,tpep_dropoff_datetime < tpep_pickup_datetime,Critical,Quarantine,DEFINITELY_INVALID,"Observed 2,235 records."
DQ_TAXI_004,yellow_taxi,Pickup Outside 2025,"The analytical source period is 2025, so pickup timestamps outside [2025-01-01, 2026-01-01) are invalid for this pipeline.",tpep_pickup_datetime < '2025-01-01' OR tpep_pickup_datetime >= '2026-01-01',Critical,Quarantine,DEFINITELY_INVALID,Observed 29 records; pickup minimum was 2007-12-05.
DQ_TAXI_005,yellow_taxi,Missing Taxi Location,Pickup and drop-off location IDs are required for zone enrichment and zone-based analytics.,PULocationID IS NULL OR DOLocationID IS NULL,High,Quarantine,DEFINITELY_INVALID,Observed 0 records.
DQ_TAXI_006,yellow_taxi,Exact Duplicate Trip Record,An exact duplicate source row beyond the first occurrence would double-count trips and revenue.,complete-source-record SHA-256 hash occurs more than once; quarantine duplicate occurrence(s) beyond the first,High,Quarantine,DEFINITELY_INVALID,Observed 1 duplicate record.
DQ_TAXI_007,yellow_taxi,Negative Trip Distance,Trip distance cannot be physically negative.,trip_distance < 0,Critical,Quarantine,DEFINITELY_INVALID,Observed 0 records.
DQ_TAXI_008,yellow_taxi,Negative Fare Amount,Negative fares are suspicious but occur at material scale; profiling alone does not justify rejecting all such records.,fare_amount < 0,Medium,Flag and Retain,CANDIDATE_ANOMALY,"Observed 2,848,620 records. Blanket quarantine would be unjustified without business evidence."
DQ_TAXI_009,yellow_taxi,Negative Total Amount,Negative total amounts require business interpretation and should be flagged rather than silently rejected.,total_amount < 0,Medium,Flag and Retain,CANDIDATE_ANOMALY,"Observed 973,721 records."
DQ_TAXI_010,yellow_taxi,Extreme Fare,Very large fares require review before any hard upper-bound rejection rule is adopted.,fare_amount >= 900,Warning,Flag and Retain,CANDIDATE_ANOMALY,Observed 145 records.
DQ_TAXI_011,yellow_taxi,Extreme Trip Distance,Very long trips may be legitimate or erroneous; profiling threshold is for investigation only.,trip_distance >= 150,Warning,Flag and Retain,CANDIDATE_ANOMALY,"Observed 2,348 records."
DQ_TAXI_012,yellow_taxi,Extreme Trip Duration,Trips lasting at least 10 hours require review; duration alone is not sufficient for automatic rejection.,(tpep_dropoff_datetime - tpep_pickup_datetime) >= 10 hours,Warning,Flag and Retain,CANDIDATE_ANOMALY,"Observed 12,989 records."
DQ_TAXI_013,yellow_taxi,Unusual Passenger Count,Non-positive or unusually high passenger counts are suspicious but may reflect source coding or reporting behavior.,passenger_count <= 0 OR passenger_count > 6,Warning,Flag and Retain,CANDIDATE_ANOMALY,"Observed 260,062 <=0 and 146 >6."
DQ_TAXI_014,yellow_taxi,Taxi Schema Mismatch,Required Taxi columns or compatible data types must be present before processing.,required Taxi column missing OR required column type incompatible with expected schema,Critical,Fail Run,PIPELINE_CONTROL,No monthly schema differences were observed in 2025; rule protects incremental loads.
DQ_311_001,nyc_311,Missing or Invalid Created Date,created_date is required to place a complaint in the 2025 analysis period.,created_date IS NULL OR created_date cannot be parsed,Critical,Quarantine,DEFINITELY_INVALID,Observed 0 records.
DQ_311_002,nyc_311,Created Date Outside 2025,The 311 dataset is scoped by complaint creation date to calendar year 2025.,created_date < '2025-01-01' OR created_date >= '2026-01-01',Critical,Quarantine,DEFINITELY_INVALID,Observed 0 records.
DQ_311_003,nyc_311,Closed Before Created,A complaint cannot logically close before it is created.,closed_date IS NOT NULL AND closed_date < created_date,Critical,Quarantine,DEFINITELY_INVALID,Observed 914 records.
DQ_311_004,nyc_311,Duplicate Complaint ID,unique_key is the business identifier and must not produce duplicate complaint records downstream.,unique_key duplicated; quarantine duplicate occurrence(s) beyond the first,High,Quarantine,DEFINITELY_INVALID,Observed 0 duplicate unique_key rows.
DQ_311_005,nyc_311,Missing 311 Coordinates,Latitude and longitude are required for point-in-polygon enrichment to Taxi Zones.,latitude IS NULL OR longitude IS NULL,High,Quarantine,DEFINITELY_INVALID,"Observed 50,148 records; these cannot participate reliably in spatial enrichment."
DQ_311_006,nyc_311,Invalid Coordinate Range,Coordinates outside global latitude/longitude ranges are structurally invalid.,latitude < -90 OR latitude > 90 OR longitude < -180 OR longitude > 180,Critical,Quarantine,DEFINITELY_INVALID,Observed 0 records.
